wban,latitude,longitude
3013,38.07,-102.6881
3016,39.52778,-107.7197
3017,39.8328,-104.6575
3024,35.695,-101.395
3026,39.24472,-102.2842
3027,35.00278,-105.6628
3028,37.28333,-102.6139
3029,35.6575,-109.0614
3030,36.68167,-101.5053
3031,31.92056,-102.3867
3032,30.04806,-102.2131
3035,32.8525,-104.4675
3044,32.2125,-101.5214
3047,31.6219,-102.8071
3048,34.3557,-106.8859
3049,30.38333,-103.6833
3050,32.69333,-100.9506
3054,33.9557,-102.774
3055,36.5993,-101.595
3056,32.67528,-102.6544
3058,31.3825,-103.5108
3060,38.544,-107.6928
3061,37.2553,-108.5035
3062,35.8584,-106.5214
3063,37.8639,-103.8224
3067,38.8701,-100.9627
3068,38.76667,-104.3
3071,32.03639,-102.1011
3072,32.0408,-100.2495
3074,32.6137,-106.7414
3076,39.1018,-108.7353
3077,34.8221,-109.8927
3078,38.5443,-102.5025
3079,38.0989,-106.1709
3080,33.7149,-108.7771
3081,37.5174,-111.9775
3082,33.6476,-105.8945
3083,39.6553,-102.6217
3084,37.7068,-106.1444
3085,32.0095,-109.3891
3086,37.3813,-102.7194
3087,35.8245,-106.3178
3088,38.9105,-105.265
3089,38.0386,-103.6948
3090,36.6519,-105.9721
3091,37.2168,-103.5042
3092,36.7779,-103.9818
3093,39.7857,-103.517
3095,36.0609,-104.3552
3096,39.7608,-108.1268
3097,34.517,-106.2702
3098,39.4827,-106.7337
3099,40.948,-107.6082
3102,34.05611,-117.6003
3103,35.1441,-111.6663
3104,33.62667,-116.1594
3124,31.58833,-110.3442
3131,32.81583,-117.1394
3144,32.83417,-115.5786
3145,32.65,-114.6167
3154,33.3,-117.35
3159,34.7411,-118.2116
3160,36.6206,-116.0278
3162,36.92611,-111.4478
3164,32.6233,-116.4728
3166,33.87194,-117.9789
3167,33.92278,-118.3342
3170,39.6013,-116.0055
3171,33.95194,-117.4386
3177,33.12806,-117.2794
3178,32.57222,-116.9794
3179,33.97528,-117.6361
3184,33.68833,-112.0817
3192,33.62278,-111.9106
3195,35.94611,-112.1547
3196,31.42083,-110.8458
3728,33.1532,-79.3637
3733,39.013,-79.4743
3739,37.2907,-75.927
3757,38.14167,-76.42917
3758,35.9705,-79.0931
3759,37.9975,-78.4656
3761,39.8593,-75.7861
3802,39.29556,-80.22889
3804,39.2,-81.27
3810,35.7425,-81.3819
3811,35.593,-88.9167
3812,35.43194,-82.5375
3813,32.6847,-83.6527
3816,37.0563,-88.7744
3818,30.83556,-85.18389
3820,33.3644,-81.9633
3822,32.13,-81.21
3847,35.9509,-85.0813
3849,37.08722,-84.07694
3853,30.4,-81.41667
3855,30.35,-87.31667
3856,34.64389,-86.78611
3859,37.2958,-81.2077
3860,38.365,-82.555
3866,32.55,-88.56667
3868,39.45194,-87.30889
3870,34.8842,-82.2209
3872,37.7836,-81.123
3878,31.86056,-86.01222
3887,39.83444,-88.86556
3888,33.77917,-84.52139
3889,37.59139,-83.31444
3892,32.61611,-85.43333
3893,39.13333,-86.61667
3894,36.62389,-87.41944
3901,32.38472,-94.71167
3902,31.06667,-97.83333
3904,30.58917,-96.36472
3918,36.29083,-92.59
3919,38.8,-97.65
3927,32.8978,-97.0189
3928,37.6475,-97.43
3930,34.91667,-92.15
3931,31.05,-93.18333
3932,35.21,-99.12
3933,31.13333,-97.71667
3935,37.2252,-89.5705
3936,39.1346,-96.6788
3937,30.12472,-93.22833
3940,32.3205,-90.0777
3945,38.8169,-92.2183
3947,39.2972,-94.7306
3949,31.4,-93.28333
3950,34.5584,-98.4172
3952,34.8353,-92.2596
3953,35.83111,-90.64639
3954,35.53417,-97.64694
3957,37.2839,-98.5528
3959,36.7683,-96.0261
3960,38.57139,-90.15722
3961,31.61667,-91.28333
3962,34.29,-93.06
3963,38.59111,-92.15583
3965,36.1624,-97.0894
3966,38.65722,-90.65583
3967,38.85,-94.73917
3969,32.21528,-98.1775
3971,32.68083,-96.86806
3972,31.08333,-97.68333
3974,37.74611,-97.22111
3975,36.7725,-90.32472
3981,34.21,-98.59
3991,33.20611,-97.19889
3994,38.70417,-93.18333
3996,32.35,-91.02778
3997,39.00778,-95.21167
3998,37.32778,-95.50417
3999,30.7406,-98.2354
4109,46.14417,-115.5964
4110,42.72667,-114.4564
4111,41.27306,-111.0306
4112,44.17083,-114.9272
4113,45.82583,-119.2611
4114,44.52278,-114.215
4125,44.556,-119.6459
4126,43.4621,-113.556
4127,43.2044,-116.7505
4128,43.4711,-119.6917
4130,48.7412,-113.433
4131,43.6615,-110.712
4134,40.16056,-113.3508
4136,47.4174,-117.5264
4137,45.158,-113.0057
4138,41.6163,-112.5437
4139,41.8484,-119.6357
4140,46.8847,-110.2895
4141,43.2718,-124.3186
4143,40.2816,-111.2398
4201,45.77278,-122.8611
4222,40.6507,-122.6068
4223,48.5405,-121.446
4236,44.4185,-123.3257
4237,47.5139,-123.812
4724,43.10833,-78.93806
4725,42.2068,-75.98
4726,40.31611,-78.83389
4751,41.8,-78.6333
4780,42.55194,-71.75583
4781,40.79389,-73.10167
4787,41.17833,-78.89889
4789,41.50917,-74.265
4803,45.6314,-89.4823
4804,40.07806,-83.07806
4808,41.77,-88.48139
4824,44.85,-87.41667
4825,44.26667,-88.51667
4826,44.35917,-89.83694
4836,47.28556,-68.31333
